,Title,Description,Label
0, Host or cohost can easily identify users to admit or remove in the secure lobby,"Hosts or cohosts are easily able to identify a participant joining a meeting as Internal to their organization, External to their organization, or Unverified where the user isn't authenticated by Webex and therefore can’t be verified.Notification of a participant waiting in the lobby is now more prominent and isn’t hidden in the Participant List.Hosts or cohosts are able to remove a participant from the lobby. They can also select an entire group and admit or remove those participants.",0
1, Customize your email templates for webinars,"As a host, you can customize the templates you use to send the following emails to panelists and attendees:invitationsremindersthank youscancellationsYou can also choose whether to use HTML or Plain text for your email format and even save the template to your template library for future use.Hosts and panelists can schedule reminders but only the host can enable two additional reminders for webinars with up to 10,000 participants. Reminders are disabled for webinars with 25,000 participants or more.When you schedule a webinar, you see separate tabs for panelists, attendees, and hosts, making it easy to copy content and send it to your respective audience.",0
2, Administrators can manage images used in virtual background,"This feature includes the following administrator capabilities:Enabling virtual background features at the organization level.Customizing options for Webex default virtual backgrounds, to use administrator uploaded virtual backgrounds, or allow users to use their own virtual background images.Allowing guest users to use administrator uploaded images as virtual backgrounds.Cascading virtual background options to each site in control hub.Overriding virtual background configuration for each Webex site.Uploading a maximum of 10 approved images as virtual background images.The administrator can flexibly configure various scenarios on different meeting sites and different services, such as Webex Meetings, Webex Calling, and Webex Messaging.In the Webex Meetings app, users can use different virtual backgrounds according to their administrator’s configuration.",0
3, Improved Personal Room security,"As part of our drive to provide you with secure meetings, we’re letting you know about some security improvements that we’re making to your Webex site.The default experience today is that anyone joining your Personal Room can jump into your meeting right away, without having to wait in the lobby.With this update, we're making your Personal Room meetings more secure. Guests who try to join your Personal Room automatically wait in your lobby until you admit them.In conjunction with these security changes, we’re also making changes to enhance the management of users in the lobby and in the meeting itself.Improved lobby notificationWe’ve improved the notifications for when someone joins the lobby. So they’re more noticeable to hosts and cohosts, even if they’re sharing content. The notifications are dynamic and update if additional people join the lobby.Removing email prompt during guest join flowAny Webex meeting attendee, joining a meeting hosted by a free online account holder, wouldn’t be prompted to input the email during a guest or unauthenticated join flow.",0
4, Closed captions selection (on or off) automatically remembered,"Webex remembers your closed captioning selection for your next meeting or event. This behavior replaces the preference setting to automatically enable closed captions, to be removed in 42.2. This change applies to sites that have closed captions separated from the Webex Assistant.This feature has select customer availability for Webex for Government.",0
5, Host or cohost can easily identify users to admit or remove in the secure lobby,"Hosts or cohosts are easily able to identify a participant joining a meeting as Internal to their organization, External to their organization, or Unverified where the user is not authenticated by Webex and therefore can’t be verified.Notification of a participant waiting in the lobby is now more prominent and isn’t hidden in the Participant List.Hosts or cohosts are able to remove a participant from the lobby. They can also select an entire group and admit or remove those participants.",0
6, Hide duplicated tooltips,The tooltip and label name are duplicated in a few controls. This feature is to enhance the user's experience to remove a few redundant tooltips if they are duplicated with the text name.,0
7, Align simultaneous interpretation in webinar with Webex Meeting,"Enable simultaneous interpretation and manage available languages for event management in Webex Meetings or webinars. Hosts are responsible for enabling simultaneous interpretation for the meetings and webinars that they schedule, and for managing the interpretation during the meeting. They can preassign interpreters or add new language channels and interpreters to meet the needs of more attendees.Limitation: If simultaneous interpretation is turned on, practice sessions can’t be started. This limitation will be addressed in a future update.",0
8, Webex recordings quick Forward and Rewind buttons,While viewing your Webex recordings you can now choose to skip ahead or move backwards easily using the rewind and forward buttons. These buttons help you move forward or backwards in 10 second increments.,0
9,. Web app: Remove Background Noise,"Similar to the desktop app, you now have the option to remove background noise when choosing ""use computer for audio"" in the web app, helping your voice to sound clear and filtering out noise from your surroundings.Sometimes, your network or firewall settings may block access to this feature, depending on the port configuration.This feature is turned off by default. Contact your Customer Service Manager at Webex to enable this feature.",0
10,. Web App: Pop-out panels from the meeting window,"Similar to the desktop app, you can now pop-out panels from the meeting window into a separate browser window, in the web app. This makes it easy to float multiple panels, scale them for a closer look, or even move them to another monitor.Click on the pop-out icon to float the panel in its own window. Once floating, you can pop the panel back into the meeting window at any time, and it snaps right back into place. If you close the floating panel, you're able to reopen it from the meeting window. You can even use the panel buttons in the meeting window to close any floating panels.",0
11,. Block all remote-control features for users when joining external meetings,"With this update, administrators are provided with a button on control hub at organization level to block all remote-control access for users joining external meetings (meetings hosted on sites outside of your company). The block includes desktop remote control, application remote control, and web browser remote control in meetings.When this feature is blocked, the user and any of their meeting participants trying to initiate remote control see a message window instead.This block is applicable to users joining meetings from their mobile (iOS) or desktop (Windows and Mac) apps.",0
12,. Receive Webex Webhooks notifications when meeting transcripts are ready,"Webhooks are a great way to provide notifications. Customers can use these webhooks to execute specific business logic based on the status provided when the webhooks are received.In this update, we’re providing the ability to receive a webhook once meetings transcripts are ready. This helps customers to satisfy use cases for sending out emails to meeting participants to inform them about the transcription readiness.This feature is not available for Webex for Government.",0
13," French, German, and Spanish spoken language transcription available in closed captions","For meetings with Webex Assistant or closed captions, the host can now select the spoken language (transcription) of the meeting in four different languages: French, German, and Spanish, in addition to the existing English.If users wants transcription in more languages, as well as translation capabilities, that can be obtained with the real-time translation add-on, which enables spoken language (transcription) in 13 languages, and caption language (translation) in 100+ languages.",1
14, Introducing People Focus (Beta),"We're excited to introduce People Focus—a new way to use Grid view, that maximizes screen space by using AI to dynamically crop videos to focus on the individual, rather than their surroundings.This gives you a better face-to-face experience with the people you are meeting with, regardless of how the person is positioned in front of their camera, making you feel more connected. Click Layout to turn on People Focus.Current limitations in this Beta:Video cropping is supported for participants using Mac, Windows, and Board Series Devices.Participants using the mobile app, web app, or Desk Series Devices videos don’t support cropping at this time.",1
